testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb4409664l,hmmer,0.5240,125,596.374045802
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb4409664l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb4409664l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb4409664l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb4409664l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,hmmer,0.5236,125,596.829640947
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb6440964l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,hmmer,0.5235,125,596.94364852
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb24096256ltlbitlbitlb8409632l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,hmmer,0.5232,125,597.285932722
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb12840962l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,hmmer,0.5235,125,596.94364852
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb14096256l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,hmmer,0.5234,125,597.057699656
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb16409616l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,hmmer,0.5234,125,597.057699656
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb24096128l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,hmmer,0.5238,125,596.601756396
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb25640961l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,hmmer,0.5238,125,596.601756396
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb3240968l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,hmmer,0.5233,125,597.171794382
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb4409664l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,hmmer,0.5238,125,596.601756396
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,mcf,0.3388,125,922.373081464
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,sjeng,0.2765,125,1130.19891501
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,milc,0.4820,125,648.340248963
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb6440964l,equake,0.2741,125,1140.09485589
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb8409632l,bzip2,0.2055,125,1520.68126521
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb8409632l,hmmer,0.5234,125,597.057699656
dynamic2tlbdtlbdtlb25640962ltlbitlbitlb8409632l,mcf,0.3388,125,922.373081464
